koda,Zivilo,Posebnosti,Mascobe,Nasicene,Ogljikovi hidrati,Sladkorji,Beljakovine,Soli,
ME1,"Svinjina, ledja",,3.5,1.357,0,0,21.2,0,
ME2,"Svinjina, stegno",,3.7,1.361,0,0,20.7,0,
ME3,"Svinjina, pleüe",,4.4,1.292,0,0,19.3,0,
ME4,"Svinjina, rebra",,5.6,2,0,0,18.7,0,
ME5,PraÁiüja jetra,,3.5,1.678,0.9,0,16.5,0,
ME6,PraÁiüje srce,,4.1,0.651,0,0,13.9,0,
ME7,PraÁiüji jezik,,17.2,6,0,0,16.3,0,
ME8,"Svinjina, podkoßna slanina",,88.7,40.059,0,0,2.9,0,
ME9,"Govedina, ledja",,2.8,0.839,0,0,22.4,0,
ME10,"Govedina, kriß",,7.7,1.03,0,0,18.5,0,
ME11,"Govedina, pleüe",,3.3,0.997,0,0,22.2,0,
ME12,"Govedina, zunanje stegno",,3.2,0.639,0,0,22,0,
ME13,"Govedina, podpleüje",,8.1,3.615,0,0,19.3,0,
ME14,"Govedina, pljuüna peüenka",,4,1.802,0,0,21.2,0,
ME15,Goveja jetra,,3.6,1.2,3.9,0,20.4,0,
ME16,Goveje srce,,3.1,0,0,0,14,0,
ME17,Goveji jezik,,12.4,0,0,0,14.4,0,
ME18,"Govedina, podkoßno maÁüobno tkivo",,94,40.367,0,0,1.5,0,
ME19,"Teletina, rebra",,2.1,0,0,0,19.1,0,
ME20,teleüja jetra,,2.1,0,4.1,0,12.7,0,
ME21,Teleüje srce,,4.2,0,0,0,14.8,0,
ME22,Teleüji jezik,,11.6,0,0,0,16.9,0,
ME23,Teleüji vampi,,8.3,0,0,0,14.8,0,
ME24,"Jagnetina, ledja",,1.6,0.765,0,0,20.8,0,
ME25,"Jagnetina, pleüe",,3.1,0.841,0,0,19.3,0,
ME26,"Jagnetina, stegno",,2.5,0.614,0,0,20.8,0,
ME27,"Jagnetina, podkoßni loj",,76.9,32.75,0,0,5.2,0,
ME28,Ovüetina,,3.5,0,0,0,18.9,0,
ME29,"Konjsko meso, povpreüno",,2.7,0.964,0.4,0,20.6,0,
ME30,"Kozje meso, povpreüno",,7.9,0,0,0,19.5,0,
ME31,"Kunüje meso, hrbet in stegno",,8.5,1.331,0,0,21.3,0,
ME32,"Hrenovka, klasiüna",,26.2,10.727,0,0,12.9,0,
ME33,Kunüja hrenovka,,23.6,2.388,0,0,12.7,0,
ME34,Mesni sir,,27.5,8.994,0,0,12.4,0,
ME35,Mortadela,,25.2,11.253,0,0,16.8,3.1,
ME36,Francoska klobasa,,23,0,0,0,13.1,1.3,
ME37,PariÁka salama,,31.1,0,0,0,11.8,1.8,
ME38,Êunka v ovitku,,3.9,1.519,0,0,17.3,0,
ME39,Kranjska klobasa,,20.4,9.002,0,0,19.1,0,
ME40,Zimska salama,,44.9,18.189,0,0,26,0,
ME41,Aljaßeva salama,,33.3,0,0,0,15.8,2.6,
ME42,Kulen,,61.9,0,0,0,18.2,0,
ME43,KraÁki prÁut,,7.4,2.812,0,0,32.1,7.6,
ME44,Prekmurska Áunka,,5.4,0,0,0,35.8,8.3,
ME45,Jetrna paÁteta,,28.6,0,0,0,14.2,1.2,
ME46,Krvavice,,28.2,0,0,0,9.7,0,
ME47,Razsoljeni svinjski hrbet,,7.5,3.12,0,0,20.9,0,
ME48,Govedina v ovitku,,6,2.46,0,0,21.7,0,
ME49,Mesni narezek,,25.4,0,0,0,14.7,1.9,
ME50,"Petelinje meso, prsa brez koße in kosti",,0.7,0,0,0,23.9,0,
ME51,"Petelinje meso, bedro brez koße in kosti",,1.6,0,0,0,21.4,0,
ME52,"Kopunje meso, prsa brez koße in kosti",,1.7,0.671,0,0,23.5,0,
ME53,"Kopunje meso, bedro brez koße in kosti",,4.7,1.993,0,0,21.3,0,
ME54,"Polkopunje meso, prsa brez koße in kosti ",,1.4,0.547,0,0,24.4,0,
ME55,"Polkopunje meso, bedro brez koße in kosti",,3.7,1.612,0,0,21.6,0,
ME56,"PiÁüanüje meso, prsa brez koße in kosti",,1.5,0.289,0,0,22.8,0,
ME57,"PiÁüanüje meso, prsa s koßo, brez kosti",,7,1.831,0,0,21.9,0,
ME58,"PiÁüanüje meso, bedro brez koße in kosti",,6.9,1.02,0,0,18.6,0,
ME59,"PiÁüanüje meso, bedro s koßo, brez kosti",,12.6,2.254,0,0,17,0,
ME60,"PiÁüanüje meso, krilo s koßo, brez kosti",,12.3,2.204,0,0,18.5,0,
ME61,KokoÁja maÁüoba,,100,29.128,0,0,0,0,
ME62,PiÁüanüja jetra,,4.7,1.582,1.2,0,22.1,0,
ME63,PiÁüanüje srce,,5.8,1.437,0,0,17.3,0,
ME64,"Puranje meso, prsa brez koße in kosti",,1.5,0.477,0,0,24,0,
ME65,"Puranje meso, bedro brez koße in kosti",,3.9,1.219,0,0,19.6,0,
ME66,"Gos, povpreüno",,31,8.72,0,0,15.7,0,
ME67,Gosja maÁüoba,,100,27.68,0,0,0,0,
ME68,"Raca, povpreüno",,17.2,5.712,0,0,18.1,0,
ME69,PiÁüanüja posebna klobasa,,26.8,0,0,0,12.4,0,
ME70,PiÁüanüja hrenovka,,25.7,9.091,0,0,13.1,0,
ME71,PiÁüanüja jetrna paÁteta,,24.1,0,0,0,12.6,0,
ME72,PiÁüanüje prsi v ovitku,,1.7,0.568,0,0,19.4,0,
ME73,"Jelenjad, pleüe",,1.5,0,0,0,21.6,0,
ME74,"Jelenjad, hrbet",,1.3,0,0,0,22.3,0,
ME75,"Jelenjad, stegno",,1.4,0,0,0,21.6,0,
ME76,"Jelen, pleüe",,1.3,0,0,0,21.9,0,
ME77,"Jelen, hrbet",,1.2,0,0,0,22.4,0,
ME78,"Jelen, stegno",,1.4,0,0,0,21.6,0,
ME79,"KoÁuta, pleüe",,1.7,0,0,0,21.6,0,
ME80,"KoÁuta, hrbet",,1.4,0,0,0,22.4,0,
ME81,"KoÁuta, stegno",,1.7,0,0,0,21.9,0,
ME82,"Jelenje tele, pleüe",,1.5,0,0,0,21.4,0,
ME83,"Jelenje tele, hrbet",,1.2,0,0,0,21.9,0,
ME84,"Jelenje tele, stegno",,1.2,0,0,0,21.7,0,
ME85,"Srnjak, pleüe",,1.2,0,0,0,23.5,0,
ME86,"Srnjak, hrbet",,2.8,0,0,0,22.7,0,
ME87,"Srnjak, stegno",,2.1,0,0,0,21.6,0,
ME88,"Divji praÁiü, meso, povpreüno",,9.3,3.248,0,0,19.5,0,
ME89,"Divji zajec, povpreüno",,3,0,0,0,21.6,0,
ME90,"Fazan, povpreüno, s koßo, brez kosti",,6.6,2.13,0,0,23.8,0,
ME91,"Prepelica, povpreüno, brez koße in kosti",,2.3,0.795,0,0,22.1,0,
RI1,Cipelj,,4.3,1.487,0,0,20.4,0,
RI2,Navadni tun,,15.5,4.149,0,0,21.5,0,
RI3,Sardela,,4.1,0.816,0,0,19.7,0,
RI4,Inüun,,2.6,0,0,0,19.1,0,
RI5,Papalina,,21,3.996,0,0,13.6,0,
RI6,Sled,,9.2,2.47,0,0,18.1,0,
RI7,Jegulja,,24.5,5.72,0,0,15,0,
RI8,Morski list,,1.9,0.437,0,0,17.1,0,
RI9,Osliü,,2.8,0.59,0,0,17.2,0,
RI10,SkuÁa,,11.9,3.31,0,0,18.7,0,
RI11,Raßa,,1.3,0,0,0,20.5,0,
RI12,"Jezerska zlatovüica, gojena",,3.4,0,0,0,19.4,0,
RI13,"Êarenka, gojena",,1.9,0,0,0,18,0,
RI14,"Krap, gojen",,7.6,1.039,0,0,16.9,0,
RI15,"Potoüna postrv, gojena",,5,0.682,0,0,19,0,
RI16,Klen,,0.6,0,0,0,15,0,
RI17,Podust,,2.5,0,0,0,19.9,0,
RI18,Êüuka,,0.9,0.083,0,0,18.4,0,
RI19,Losos,,13.6,2.868,0,0,19.9,0,
RI20,Sipa,,0.9,0,0,0,16.1,0,
RI21,Klapavica,,1.1,0,0,0,11,0,
RI22,"Êkoljka, dagnja",,2,0.589,2.4,0,10.5,0,
RI23,Ostriga,,1.2,0.415,4.8,0,9,0,
RI24,Polß,,1.2,0.215,0,0,12.8,0,
RI25,Navadna peÁüena kozica,,1.4,0.318,0,0,18.6,0,
RI26,Jastog,,1.9,0.239,0,0,15.9,0,
RI27,Rarog,,1.1,0.13,1.3,0,17.2,0,
RI28,Sladkovodni rak,,0.5,0.0668,0,0,15,0,
RI29,Prekajena postrv,,9.3,0,0,0,30.4,0,
RI30,"Slanik, prekajen",,18.4,4.444,0,0,19.4,0,
RI31,"Morski list, prekajen",,1.9,0.455,0,0,23.3,0,
RI32,"SkuÁa, prekajena",,15.5,2.978,0,0,20.7,0,
RI33,"Zelenjava z ribo, ""Maestral""",,7.5,0,4.9,0,7.7,0,
RI34,"Zelenjava z ribo, ""Sardinada""",,6.5,0,8.9,0,9.2,0,
RI35,"Riba z zelenjavo, ""Weekend""",,7.3,0,6,0,7.6,0,
RI36,"Riba z zelenjavo, ""Izola Brand""",,11,0,6.5,0,7.9,0,
RI37,"Zelenjava z ribo, ""Argo Picnic""",,8.2,0,8.7,0,8.2,0,
RI38,"Sardine v olju, ploüevinka",,13.9,2.22,0,0,24.1,0,
RI39,"Zelenjava z ribo, ""Antipasta""",,6.6,0,7.6,0,4.5,0,
RI40,Brodet v ploüevinki,,5.6,0,7.5,0,4.2,0,
RI41,Tuna v rastlinskem olju,,20.9,0,0,0,23.8,0,
RI42,Losos v olju,,22.8,0,0,0,16.4,10.4,
RI43,"Rakovica, v ploüevinki",,1.7,0,0,0,18,0,
RI44,"Ribja paÁteta, ""Argeta""",,12.7,0,7.3,0,10.1,0,
RI45,"Ribja paÁteta z zelenjavo, ""Weekend""",,12.3,0,10.5,0,10.8,0,
RI46,Kaviar,,15.5,0,0,0,26.1,0,
RI47,Brancin peüen,,2.57,0.655,0,0,23.6,0,
RI48,Morski pes,,4.52,0.925,0,0,21,0,
RI49,SkuÁa,,11.9,4.3,0,0,18.7,0,
RI50,Sardine,,5.18,1.76,0,0,18.4,0,
RI51,Meüarica,,4.4,0.31,0,0,19.4,0,
RI52,Tuna,,15.5,4.78,0,0,21.5,0,
RI53,Jegulja,,33,7.9,0,0,14.6,0,
RI54,Som,,11.3,3,0,0,15.3,0,
RI55,Êkoljke,,1.91,0.55,4.81,0,8.26,0,
RI56,Êkampi,,0.59,0.107,1.29,0,20.5,0,
RI57,Hobotnica,,1.05,0.227,2.21,0,14.9,0,
SO1,Sol,,0,0,0,0,0,100,
OR1,Oreh,,62.5,6.22,12.14,0,14.4,0,
OR2,Pinjoli,,50.7,7.8,14.2,0,24,0,
OR3,LeÁnik,,61.6,4.52,11.36,4.62,11.96,0,
OR4,Mandelj,,54.1,4.65,9.08,0,18.72,0,
OR5,AraÁid,,48.1,6.96,12.15,3.2,25.25,0,
OR6,Kostanj,,2.21,0.414,53,12.7,3.18,0,
OR7,Kokosov oreh,,36.3,31.75,4.8,0,44.8,0,
OR8,Pistacija,,51.6,7.25,15.66,0,5.9,0,
OR9,Makovo semena,,42.2,4.87,4.2,0,20,0,
OR10,Sezamovo semena,,50.4,7.55,10.2,0,17.72,0,
OR11,Sonüniüna semena,,49,5.2,12.33,0,22.47,0,
OR12,Buüna semena,,46,8.7,17.8,0,24.5,0,
ZI1,"Ajda, zrno",,2.78,0,70.5,2.615,11.4,0,
